title,tags,local_rate,whole_rate,total_traffic,total_patient,g_comment,b_comment,satisfaction_degree
兰州大学第一医院,"(三甲, 特色:综合)", 第2名 ,第164名,3922 万次,57874 位,1890, 31,96%
兰州大学第二医院,(三甲), 第1名 ,第130名,6314 万次,95605 位,2416, 38,98%
甘肃省人民医院,"(三甲, 特色:综合)", 第3名 ,第207名,1617 万次,24481 位,932, 21,97%
兰州市第一人民医院,(三甲), 第7名 ,未知,931 万次,19354 位,230, 1,99%
甘肃省中医院,"(三甲, 特色:中医)", 第6名 ,未知,1080 万次,10255 位,493, 5,99%
甘肃中医药大学附属医院,"(三甲, 特色:中医)", 第4名 ,未知,1454 万次,15267 位,345, 5,98%
甘肃省妇幼保健院,"(三甲, 特色:妇幼)", 第5名 ,第213名,1341 万次,28313 位,460, 11,96%
甘肃省第二人民医院,(三甲), 第8名 ,未知,766 万次,4712 位,13, 0,100%
甘肃省肿瘤医院,"(三甲, 特色:肿瘤)", 第9名 ,未知,649 万次,4059 位,109, 2,98%
永登县人民医院,(二甲), 第100名 ,未知,1 万次,2 位,4, 0,100%
解放军第一医院,(三甲), 第30名 ,未知,50 万次,98 位,4, 0,100%
兰州市第二人民医院,(三级), 第11名 ,未知,342 万次,4870 位,24, 0,100%
兰州大学口腔医院,"(三甲, 特色:口腔)", 第48名 ,未知,19 万次,207 位,68, 0,100%
兰州市第四人民医院,(二甲), 第25名 ,未知,66 万次,469 位,4, 0,100%
甘肃省康复中心,(三甲), 第31名 ,未知,48 万次,103 位,4, 0,100%
兰州市妇幼保健院,"(二甲, 特色:妇幼)", 第18名 ,未知,115 万次,857 位,18, 0,100%
兰州石化总医院,(三级), 第46名 ,未知,20 万次,181 位,20, 0,100%
兰州市肺科医院,(二甲), 第39名 ,未知,28 万次,412 位,38, 1,97%
甘肃省第三人民医院,(三级), 第29名 ,未知,50 万次,944 位,2, 0,100%
兰州市西固区人民医院,(二甲), 第95名 ,未知,1 万次,7 位,3, 0,100%
兰州市第三人民医院,(二甲), 第63名 ,未知,6 万次,93 位,0, 0,0%
兰州中医骨伤科医院,(二甲), 第37名 ,未知,32 万次,51 位,3, 0,100%
榆中县第三人民医院,(二级), 第103名 ,未知,1 万次,3 位,4, 0,100%
七里河区人民医院,(二甲), 第43名 ,未知,23 万次,379 位,0, 0,0%
解放军联勤保障部队940医院,(三甲), 第162名 ,未知,1073 次,0 位,2, 0,100%
西固区妇幼保健院,(二甲), 第23名 ,未知,70 万次,1467 位,0, 0,0%
城关区人民医院,(二甲), 第128名 ,未知,5516 次,0 位,0, 0,0%
安宁区人民医院,(二甲), 第129名 ,未知,5396 次,0 位,0, 0,0%
兰州市口腔医院,(二甲), 第116名 ,未知,7505 次,1 位,3, 0,100%
兰州市城关区第三医院,(二甲), 第117名 ,未知,7161 次,0 位,0, 0,0%
兰州大学第二医院康泰分院,(二甲), 第123名 ,未知,6513 次,0 位,0, 0,0%
兰州市安宁区万里医院,(二级), 第111名 ,未知,8634 次,3 位,0, 0,0%
永登县中医医院,(二甲), 第138名 ,未知,3341 次,0 位,0, 0,0%
西固区中医院,(二甲), 第134名 ,未知,3518 次,0 位,0, 0,0%
榆中县第一人民医院,(二甲), 第147名 ,未知,2946 次,0 位,0, 0,0%
兰飞医院,(二级), 第77名 ,未知,3 万次,61 位,0, 0,0%
永登县民乐乡卫生院,, 第119名 ,未知,6951 次,1 位,0, 0,0%
兰州市城关区雁南街道沙洼河社区卫生服务站,(一级), 第110名 ,未知,8813 次,8 位,0, 0,0%
窑街煤电集团公司总医院,(三级), 第149名 ,未知,2935 次,0 位,0, 0,0%
西北民族大学医院,(二级), 第157名 ,未知,2156 次,0 位,0, 0,0%
庆阳市第二人民医院,(二甲), 第20名 ,未知,93 万次,1537 位,74, 0,100%
庆阳市中医院,(三甲), 第27名 ,未知,62 万次,343 位,22, 0,100%
宁县人民医院 ,(二甲), 第88名 ,未知,1 万次,3 位,0, 0,0%
庆阳市人民医院,(三甲), 第22名 ,未知,70 万次,2838 位,102, 1,97%
西峰区人民医院,(二甲), 第108名 ,未知,9890 次,5 位,1, 0,100%
合水县人民医院,(二甲), 第55名 ,未知,11 万次,394 位,7, 0,100%
环县人民医院,(二甲), 第59名 ,未知,7 万次,106 位,1, 0,100%
镇原县医院,(二甲), 第171名 ,未知,0 次,0 位,0, 0,0%
宁县中医医院,(二级), 第49名 ,未知,17 万次,385 位,2, 0,100%
正宁县中医院,(二甲), 第62名 ,未知,6 万次,159 位,2, 0,100%
庆阳市妇幼保健院,(二甲), 第89名 ,未知,1 万次,20 位,0, 0,0%
宁县第二人民医院,(二甲), 第106名 ,未知,1 万次,0 位,0, 0,0%
正宁县人民医院,(二甲), 第122名 ,未知,6524 次,0 位,0, 0,0%
庆城县中医医院,(二甲), 第135名 ,未知,3424 次,0 位,0, 0,0%
环县中医院,(二级), 第161名 ,未知,1092 次,0 位,0, 0,0%
华池县中医院,(二甲), 第159名 ,未知,1424 次,0 位,1, 0,100%
甘谷县人民医院,(二甲), 第74名 ,未知,4 万次,54 位,13, 1,93%
天水市第四人民医院,(二甲), 第34名 ,未知,33 万次,69 位,4, 0,100%
天水市第一医院 ,(三甲), 第40名 ,未知,28 万次,367 位,15, 0,100%
天水市第二人民医院,(三甲), 第19名 ,未知,96 万次,1659 位,29, 0,94%
天水市中医医院,(三甲), 第71名 ,未知,4 万次,70 位,10, 0,100%
秦安县人民医院,(二甲), 第144名 ,未知,3129 次,0 位,0, 0,0%
武山县中医医院,(二甲), 第114名 ,未知,8338 次,10 位,1, 0,100%
秦州区妇幼保健院,(二级), 第148名 ,未知,2936 次,1 位,0, 0,0%
秦州区人民医院,(二甲), 第155名 ,未知,2524 次,0 位,0, 0,0%
秦安县中医医院,(二甲), 第137名 ,未知,3347 次,3 位,0, 0,0%
武山县人民医院,(二甲), 第127名 ,未知,5545 次,0 位,0, 0,0%
张家川县第一人民医院,(二甲), 第139名 ,未知,3324 次,0 位,0, 0,0%
清水县中医院,(二甲), 第132名 ,未知,4267 次,3 位,0, 0,0%
天水市第三人民医院,(三级), 第158名 ,未知,1485 次,0 位,0, 0,0%
华亭县人民医院,(二甲), 第107名 ,未知,1 万次,11 位,5, 0,100%
平凉市第二人民医院,(三级), 第54名 ,未知,14 万次,287 位,44, 1,98%
甘肃医学院第一附属医院,(三甲), 第70名 ,未知,4 万次,25 位,2, 0,100%
静宁县人民医院,(二甲), 第66名 ,未知,6 万次,121 位,2, 0,100%
庄浪县人民医院,(二甲), 第72名 ,未知,4 万次,18 位,11, 0,100%
华亭煤业集团总医院,(二甲), 第47名 ,未知,20 万次,600 位,13, 0,93%
平凉市妇幼保健院,(二甲), 第69名 ,未知,5 万次,61 位,0, 0,0%
甘肃庄浪县中医院,(二甲), 第82名 ,未知,2 万次,0 位,0, 0,0%
平凉市第三人民医院,(二甲), 第28名 ,未知,60 万次,1303 位,0, 0,0%
崇信县人民医院,(二甲), 第64名 ,未知,6 万次,144 位,0, 0,0%
甘肃省平凉市泾川县妇幼保健院计划生育服务中心,, 第21名 ,未知,87 万次,4112 位,73, 0,99%
平凉市中医医院,(二甲), 第118名 ,未知,7010 次,19 位,6, 0,100%
泾川县人民医院,(二甲), 第164名 ,未知,726 次,0 位,0, 0,0%
平凉市康复中心医院,(二级), 第166名 ,未知,506 次,0 位,0, 0,0%
临洮县人民医院,(二甲), 第45名 ,未知,21 万次,57 位,10, 1,77%
陇西县第一人民医院,(二甲), 第112名 ,未知,8534 次,10 位,2, 0,100%
定西市人民医院,(三甲), 第44名 ,未知,21 万次,233 位,4, 0,100%
漳县人民医院,(二甲), 第101名 ,未知,1 万次,0 位,0, 0,0%
陇西县第三人民医院,(二级), 第97名 ,未知,1 万次,0 位,0, 0,0%
陇西县第二人民医院,(二甲), 第96名 ,未知,1 万次,2 位,0, 0,0%
定西市第二人民医院,, 第109名 ,未知,9629 次,0 位,0, 0,0%
岷县人民医院,(二甲), 第115名 ,未知,8047 次,0 位,0, 0,0%
安定区妇幼保健院,(二级), 第105名 ,未知,1 万次,13 位,0, 0,0%
定西市中医院,(二甲), 第142名 ,未知,3184 次,3 位,0, 0,0%
陇西县中医院,(二甲), 第145名 ,未知,3121 次,0 位,0, 0,0%
通渭县中医院,(二甲), 第143名 ,未知,3160 次,2 位,1, 0,100%
通渭县人民医院,(二甲), 第121名 ,未知,6604 次,13 位,0, 0,0%
白银市第一人民医院,(三级), 第10名 ,未知,411 万次,1494 位,30, 0,100%
白银市第二人民医院,(三级), 第57名 ,未知,8 万次,36 位,2, 0,100%
会宁县人民医院,(二甲), 第113名 ,未知,8385 次,0 位,4, 0,100%
甘肃省中医院白银分院,(三级), 第65名 ,未知,6 万次,28 位,0, 0,0%
甘煤一公司医院,(二甲), 第168名 ,未知,0 次,0 位,0, 0,0%
靖远县人民医院,(二甲), 第136名 ,未知,3377 次,0 位,0, 0,0%
平川区人民医院,(二甲), 第79名 ,未知,2 万次,38 位,0, 0,0%
白银市中心医院,(三级), 第60名 ,未知,7 万次,108 位,6, 0,100%
景泰县人民医院,(二甲), 第52名 ,未知,14 万次,471 位,5, 0,100%
会宁县中医院,(二甲), 第120名 ,未知,6698 次,5 位,2, 0,100%
会宁县妇幼保健院,, 第68名 ,未知,5 万次,8 位,0, 0,0%
靖远县中医院,(二甲), 第163名 ,未知,1030 次,0 位,0, 0,0%
酒泉市人民医院,(三甲), 第15名 ,未知,131 万次,3298 位,160, 0,100%
敦煌市医院,(二甲), 第73名 ,未知,4 万次,23 位,3, 0,100%
敦煌市中医院,(二甲), 第24名 ,未知,68 万次,195 位,3, 0,100%
酒泉市第二人民医院,(三级), 第76名 ,未知,4 万次,29 位,1, 0,100%
瓜州县人民医院,(二甲), 第75名 ,未知,4 万次,24 位,0, 0,0%
青海油田职工总医院,(二甲), 第124名 ,未知,6426 次,0 位,0, 0,0%
金塔县人民医院,(二甲), 第92名 ,未知,1 万次,0 位,0, 0,0%
肃州区妇幼卫生保健站,(一甲), 第126名 ,未知,5867 次,1 位,0, 0,0%
玉门市中医医院,(二甲), 第90名 ,未知,1 万次,84 位,4, 0,100%
玉门市第一人民医院,(二甲), 第160名 ,未知,1236 次,0 位,0, 0,0%
甘肃省玉门市妇幼保健站,(一甲), 第156名 ,未知,2377 次,2 位,0, 0,0%
武威市人民医院,(三级), 第17名 ,未知,116 万次,1688 位,26, 0,100%
武威市凉州医院,(三级), 第32名 ,未知,38 万次,680 位,9, 0,100%
