title,tags,local_rate,whole_rate,total_traffic,total_patient,g_comment,b_comment,satisfaction_degree
重医大附一院,"(三甲, 特色:综合)", 第1名 ,第86名,11404 万次,131194 位,4004, 73,98%
重医附二院,"(三甲, 特色:综合)", 第6名 ,第180名,2980 万次,25587 位,1208, 7,99%
陆军特色医学中心(大坪医院),"(三甲, 特色:综合)", 第5名 ,第178名,3202 万次,36255 位,988, 28,97%
重庆医科大学附属儿童医院,"(三甲, 特色:儿童)", 第2名 ,第88名,11127 万次,170108 位,4720, 106,97%
重庆市中医院,"(三甲, 特色:中医)", 第7名 ,未知,2943 万次,27673 位,362, 12,97%
重庆市人民医院（三院院区）,(三甲), 第10名 ,未知,1819 万次,13377 位,60, 1,97%
重庆市中医院道门口院部,"(三甲, 特色:综合)", 第25名 ,未知,263 万次,4450 位,122, 6,92%
重庆市第四人民医院,(三甲), 第29名 ,未知,184 万次,3390 位,27, 1,96%
重庆市人民医院,(三级), 第42名 ,未知,77 万次,651 位,24, 0,100%
重庆妇幼保健院,"(三级, 特色:妇产)", 第11名 ,未知,1699 万次,13873 位,240, 10,95%
重庆市中医骨科医院,(二甲), 第33名 ,未知,126 万次,915 位,9, 0,100%
重庆医科大学附属第一医院第一分院,(三甲), 第92名 ,未知,5 万次,97 位,21, 1,91%
重庆市中西医结合康复医院,(二级), 第155名 ,未知,1550 次,0 位,0, 0,0%
渝中区妇幼保健院,(二级), 第163名 ,未知,137 次,0 位,0, 0,0%
重庆新桥医院,"(三甲, 特色:综合)", 第4名 ,第112名,8220 万次,102921 位,5257, 75,98%
西南医院,"(三甲, 特色:综合)", 第3名 ,第96名,9554 万次,126171 位,4721, 116,97%
重庆市肿瘤医院,"(三甲, 特色:肿瘤)", 第12名 ,未知,1447 万次,10430 位,148, 3,98%
重庆医科大学附属大学城医院,(三甲), 第41名 ,未知,84 万次,552 位,15, 1,94%
沙坪坝人民医院,(二级), 第43名 ,未知,73 万次,1229 位,9, 0,100%
重庆市公共卫生医疗救治中心,"(三级, 特色:呼吸)", 第49名 ,未知,54 万次,360 位,16, 0,100%
重庆市精神病院,"(三级, 特色:精神)", 第80名 ,未知,9 万次,115 位,0, 0,0%
沙坪坝区中西医结合医院,(二甲), 第158名 ,未知,937 次,0 位,0, 0,0%
重庆大学医院,(二级), 第24名 ,未知,274 万次,5251 位,0, 0,0%
重庆市沙坪坝区中医院,(二甲), 第152名 ,未知,2065 次,2 位,0, 0,0%
沙坪坝区陈家桥医院,(二级), 第110名 ,未知,2 万次,19 位,0, 0,0%
重庆市沙坪坝区妇幼保健院,(二甲), 第141名 ,未知,4063 次,3 位,0, 0,0%
重庆市沙坪坝区精神卫生中心,(二级), 第138名 ,未知,4249 次,4 位,2, 0,67%
重庆三峡中心医院,"(三甲, 特色:综合)", 第9名 ,未知,2094 万次,26760 位,363, 13,96%
重庆三峡妇女儿童医院,, 第15名 ,未知,697 万次,16529 位,264, 5,97%
重庆三峡中心医院百安分院,(三甲), 第87名 ,未知,6 万次,35 位,6, 0,100%
万州区人民医院,(二甲), 第38名 ,未知,100 万次,1557 位,1, 0,100%
万州区第四人民医院,(二级), 第74名 ,未知,13 万次,4 位,2, 0,100%
重庆三峡精神卫生中心,(三甲), 第130名 ,未知,6147 次,1 位,0, 0,0%
万州区妇幼保健院,(二甲), 第39名 ,未知,98 万次,326 位,1, 1,50%
万州区中医院,(二甲), 第85名 ,未知,6 万次,22 位,3, 0,100%
重庆三峡医专附属医院,(二甲), 第40名 ,未知,84 万次,1366 位,7, 0,100%
万州区第五人民医院,(二甲), 第58名 ,未知,27 万次,483 位,5, 0,100%
余家中心卫生院,(一级), 第135名 ,未知,5188 次,2 位,0, 0,0%
万州区龙沙镇中心卫生院,(一甲), 第140名 ,未知,4084 次,0 位,0, 0,0%
九龙坡第一人民医院,(二级), 第63名 ,未知,18 万次,130 位,5, 0,100%
重庆医科大学附属康复医院,(三级), 第52名 ,未知,39 万次,179 位,1, 0,100%
重庆市东南医院,(二甲), 第47名 ,未知,58 万次,54 位,9, 0,100%
重庆市老年病医院,(二甲), 第89名 ,未知,6 万次,156 位,1, 0,100%
九龙坡区中医院,(三甲), 第44名 ,未知,66 万次,794 位,2, 0,100%
九龙坡区第二人民医院,(二甲), 第99名 ,未知,3 万次,69 位,2, 0,100%
重庆渝西医院,(二级), 第161名 ,未知,408 次,0 位,0, 0,0%
九龙坡区第五人民医院,(二级), 第125名 ,未知,7476 次,0 位,0, 0,0%
重庆建设医院,(二甲), 第132名 ,未知,5486 次,0 位,0, 0,0%
